e, e_dot, e_int, stamp, 
0.3555441929162077, 0.0, 0.03195763610588317, 1697835364589785427, 
0.3555441929162077, 0.0, 0.03592398650304979, 1697835364660552076, 
0.3555441929162077, 0.0, 0.03937068026318974, 1697835364700519004, 
0.3519520355911496, -0.024696580017629755, 0.0313422578603902, 1697835364749002874, 
0.3502150184730941, -0.035991216772592545, 0.035168068306200714, 1697835364800266648, 
0.35174484122523536, -0.0009947147852970805, 0.035401946043373725, 1697835364849775850, 
0.35171912937518257, 0.010128910384529052, 0.03499140497800722, 1697835364899893020, 
0.3527400212151575, 0.005572268849482922, 0.03850516565889113, 1697835364959144398, 
0.35286881017652444, 0.007194129862236571, 0.031311252759585566, 1697835364988733722, 
0.3551314704459011, 0.012004207767334178, 0.03573161340296298, 1697835365060201028, 
0.3650659325865293, 0.04775154225948817, 0.057405512018837625, 1697835365149223852, 
0.3294989005355645, -0.08158532949302297, 0.06607206278795903, 1697835365249032967, 
0.3276530109721355, -0.12553685457004116, 0.06505362228101443, 1697835365340142909, 
0.3297684505508782, -0.0008673813923557641, 0.06938424977625315, 1697835365459944361, 
0.2967398585722954, -0.11718248923611467, 0.0665559478809626, 1697835365549402957, 
0.2933821968525266, -0.1343077256107598, 0.057965302384249864, 1697835365648984150, 
0.28779989668731687, -0.03164091676229174, 0.05583229959206827, 1697835365740190872, 
0.2857198644898767, -0.03408072271225187, 0.041002488101112684, 1697835365790877317, 
0.24815385895929837, -0.09191361105780566, 0.057720839178814896, 1697835365950934546, 
0.24224858765978896, -0.09833484492417795, 0.06674321195691071, 1697835366048864535, 
0.23852142002321347, -0.03369735237994073, 0.045995594326079345, 1697835366140236597, 
0.20705770880785035, -0.10135834571451115, 0.04834899907416715, 1697835366259741465, 
0.2013629893005644, -0.1088407568622266, 0.04519032116696446, 1697835366349793155, 
0.19416497263807347, -0.044892765615268816, 0.03832602843824347, 1697835366450549330, 
0.19096144470833176, -0.03582687733164013, 0.037074464319060474, 1697835366539435784, 
0.15734885587168623, -0.10451381407984428, 0.03797554137336083, 1697835366660561896, 
0.15041348568516955, -0.1184584583349307, 0.0349413003108233, 1697835366749620066, 
0.1444217553081536, -0.04593344118775033, 0.028494250484200637, 1697835366849606031, 
0.1424264142613637, -0.027344724380833324, 0.027727978021624612, 1697835366939858412, 
0.10839693759603763, -0.10212758628014279, 0.027661737900679394, 1697835367059564895, 
0.10107597038639904, -0.12158217214618154, 0.02471290103328569, 1697835367150539986, 
0.09456884595984172, -0.04855570353409013, 0.019335578819930012, 1697835367250350324, 
0.09180833464358662, -0.03194122616799491, 0.018199458683832024, 1697835367340478332, 
0.056697207167938024, -0.10849672065285045, 0.01695077087864052, 1697835367459555058, 
0.049138511018002484, -0.12621296254522776, 0.013788978479287143, 1697835367549778510, 
0.0429408505276867, -0.048627585112108795, 0.009423325313471335, 1697835367649571377, 
0.040861197513278436, -0.028296228453369338, 0.008467073542521335, 1697835367740850526, 
0.0037669694521994534, -0.11343577403249204, 0.006074446039372204, 1697835367857673953, 
-0.00573749069846885, -0.13991566697456728, 0.002719767927550782, 1697835367950651552, 
-0.010438355601118388, -0.05018633104657124, -0.0007868541607672766, 1697835368047905713, 
-0.014298806476693682, -0.030116578856173148, -0.001921318479521022, 1697835368139790883, 
-0.019682201901527696, -0.029227086041513306, -0.0031059182933626077, 1697835368257673572, 
-0.05841567315966023, -0.15553538184869656, -0.006464674605541657, 1697835368349690454, 
-0.06613723028425089, -0.1663411125248908, -0.009178351167545654, 1697835368448577537, 
-0.07058167831479178, -0.042140748325915224, -0.012412702953234123, 1697835368540523409, 
-0.07532213336433313, -0.029613233900667956, -0.014771361106509295, 1697835368657565773, 
-0.07863889582801964, -0.02538623164253051, -0.015722617126159133, 1697835368750585236, 
-0.1171011689887208, -0.14406552140702586, -0.017168552958938134, 1697835368847579944, 
-0.12071161903923944, -0.14519852964621907, -0.019982698218133553, 1697835368940023617, 
-0.12361482289796055, -0.02125178434531035, -0.025297983826660472, 1697835369057563767, 
-0.12520407928187294, -0.013928081755133803, -0.025936494038393234, 1697835369150586690, 
-0.12532423675202198, -0.006091458373953436, -0.024196072754329376, 1697835369251575659, 
-0.1292483495798924, -0.015198648987063662, -0.02397120817366529, 1697835369339944360, 
-0.16144484340113274, -0.10676108212977116, -0.028438206686679405, 1697835369456650288, 
-0.161620101441591, -0.09258086711256054, -0.03176041142623788, 1697835369550597541, 
-0.1603291341375902, 0.00367678956419421, -0.03126824029666967, 1697835369650704632, 
