x, y, theta, stamp, 
-1.0005805492401123, -0.9987992644309998, -1.786050325160739, 1697826803385965473, 
-1.0005805492401123, -0.9987992644309998, -1.786050325160739, 1697826803416314444, 
-1.0005805492401123, -0.9987992644309998, -1.786050266350394, 1697826803482603950, 
-1.0005805492401123, -0.9987992644309998, -1.786050266350394, 1697826803527105121, 
-1.0005805492401123, -0.9987992644309998, -1.7860504294906197, 1697826803576789367, 
-1.0005805492401123, -0.9987992644309998, -1.7860504294906197, 1697826803626917754, 
-1.0005805492401123, -0.9987992644309998, -1.7860504503522985, 1697826803677880987, 
-1.0005803108215332, -0.9987991452217102, -1.7860525089581645, 1697826803722732395, 
-1.0008368492126465, -0.9992760419845581, -1.7815872317381825, 1697826803786196202, 
-1.0017668008804321, -1.0053852796554565, -1.7368022222785955, 1697826803883635375, 
-1.0033396482467651, -1.0165976285934448, -1.6698682775552758, 1697826803976781628, 
-1.0045666694641113, -1.0335444211959839, -1.5668879377509612, 1697826804076939909, 
-1.0038126707077026, -1.0529078245162964, -1.4431491630097744, 1697826804166948081, 
-0.9994404315948486, -1.0774422883987427, -1.2950194781068152, 1697826804266772799, 
-0.9903709888458252, -1.1032687425613403, -1.126458485426274, 1697826804376825222, 
-0.9788526892662048, -1.1258265972137451, -0.9677759066133088, 1697826804478802180, 
-0.9653429985046387, -1.1437857151031494, -0.8324089465510033, 1697826804567082322, 
-0.9479358792304993, -1.1611554622650146, -0.6803092559498263, 1697826804666781179, 
-0.9257693290710449, -1.1773309707641602, -0.509200968589952, 1697826804777843331, 
-0.9043705463409424, -1.1880700588226318, -0.36154336313927904, 1697826804873806981, 
-0.8831168413162231, -1.1950981616973877, -0.22841179954561996, 1697826804967059634, 
-0.8522652983665466, -1.2000812292099, -0.0634927136512388, 1697826805085789924, 
-0.827440619468689, -1.2005550861358643, 0.0587573550952387, 1697826805176811985, 
-0.8006110787391663, -1.1979126930236816, 0.18458436347401525, 1697826805275744024, 
-0.7748763561248779, -1.1919291019439697, 0.29453866381582766, 1697826805367068153, 
-0.7421685457229614, -1.1800098419189453, 0.4277136094655055, 1697826805484996408, 
-0.7169777154922485, -1.1674010753631592, 0.521288885970059, 1697826805578888437, 
-0.6917699575424194, -1.1515239477157593, 0.6137458458666174, 1697826805675159822, 
-0.6689896583557129, -1.1342636346817017, 0.6936909803221134, 1697826805767967895, 
-0.6462711691856384, -1.1138874292373657, 0.7803476866374403, 1697826805886156455, 
-0.6283796429634094, -1.0950795412063599, 0.8528867271862984, 1697826805977280450, 
-0.6075785160064697, -1.070152759552002, 0.9108621374457485, 1697826806076658455, 
-0.5879098773002625, -1.0435463190078735, 0.9636342049679767, 1697826806186763288, 
-0.5706504583358765, -1.0177308320999146, 1.0109761513159599, 1697826806287254066, 
-0.5564525723457336, -0.994227409362793, 1.0557819194910976, 1697826806377378910, 
-0.5415186882019043, -0.966627299785614, 1.0905184726377233, 1697826806476445851, 
-0.5287755131721497, -0.9414853453636169, 1.1100535692009097, 1697826806567800457, 
-0.5130221843719482, -0.9089816212654114, 1.1258283012534527, 1697826806687219616, 
-0.5027165412902832, -0.886555016040802, 1.136230894713238, 1697826806777252390, 
-0.49442392587661743, -0.8682481050491333, 1.1424117530082156, 1697826806877919082, 
-0.48600640892982483, -0.8492792844772339, 1.1447559942663532, 1697826806967791946, 
-0.47198671102523804, -0.8184220194816589, 1.1432917516962064, 1697826807087816379, 
-0.46195799112319946, -0.7967023849487305, 1.1411079442308718, 1697826807178845601, 
-0.4518883228302002, -0.774665355682373, 1.1354337332099351, 1697826807277740395, 
-0.4423183798789978, -0.7540060877799988, 1.1317136114395523, 1697826807367834822, 
-0.4298408627510071, -0.7275286912918091, 1.1223258538475502, 1697826807487162335, 
-0.4203890264034271, -0.7083991169929504, 1.1172492912526941, 1697826807577821983, 
-0.4102492332458496, -0.6876294612884521, 1.1109304691043695, 1697826807677747664, 
-0.40124785900115967, -0.6695137023925781, 1.1034774717971376, 1697826807767852049, 
-0.3892976939678192, -0.6460046172142029, 1.094177068710067, 1697826807887783841, 
-0.380523145198822, -0.6293214559555054, 1.0880993690195457, 1697826807977199776, 
-0.3711128830909729, -0.6113170981407166, 1.079343752449738, 1697826808077785841, 
-0.3625078499317169, -0.5953384637832642, 1.071914530674574, 1697826808168903631, 
-0.3508971631526947, -0.574617326259613, 1.0658254604111468, 1697826808287792776, 
-0.3428228497505188, -0.5599142909049988, 1.0594034843440028, 1697826808377852781, 
-0.3338814377784729, -0.5439968109130859, 1.0524408397450016, 1697826808477740351, 
-0.32574108242988586, -0.5296666622161865, 1.047345609251548, 1697826808568878562, 
-0.3169088661670685, -0.5145933032035828, 1.0419639419796467, 1697826808667796385, 
-0.30732882022857666, -0.4984259009361267, 1.0370811318451318, 1697826808779989598, 
-0.29957154393196106, -0.48539236187934875, 1.034959616294791, 1697826808873746064, 
-0.2914983928203583, -0.4719655215740204, 1.0304266279981136, 1697826808970977980, 
-0.2840977609157562, -0.45970600843429565, 1.0277932512709838, 1697826809063834402, 
-0.27476775646209717, -0.4444122612476349, 1.0256633835307554, 1697826809181984470, 
-0.2677737772464752, -0.43275174498558044, 1.022359850064198, 1697826809277747367, 
-0.26100197434425354, -0.4218169152736664, 1.0210001811825726, 1697826809367908601, 
-0.25358670949935913, -0.4098232090473175, 1.0198673968507181, 1697826809467821690, 
-0.24573935568332672, -0.39701831340789795, 1.0172866210970615, 1697826809577838471, 
-0.23902678489685059, -0.38609713315963745, 1.0167285289135086, 1697826809677757334, 
