x (m), y (m), th (rad), stamp, 
8.1307897567749,0.261252909898758,-3.14252118455332,1.6966169219249E+018,
8.1307897567749,0.261252909898758,-3.0790359080977,1.69661692197591E+018,
8.1307897567749,0.261252909898758,-3.01555063164208,1.6966169220258E+018,
8.13079261779785,0.261252611875534,-2.95206535518645,1.69661692207573E+018,
8.1305103302002,0.261210501194,-2.88858007873083,1.69661692211499E+018,
8.12879085540772,0.259322792291641,-2.82509480227521,1.69661692216502E+018,
8.12559795379639,0.256041198968887,-2.76160952581959,1.69661692221685E+018,
8.12050533294678,0.250679165124893,-2.69812424936396,1.69661692227574E+018,
8.11544704437256,0.245111122727394,-2.63463897290834,1.69661692232577E+018,
8.10923290252686,0.23765404522419,-2.57115369645272,1.69661692238175E+018,
8.10385704040527,0.230948016047478,-2.5076684199971,1.69661692242171E+018,
8.09718894958496,0.221492931246757,-2.44418314354147,1.69661692247071E+018,
8.09013557434082,0.210397094488144,-2.38069786708585,1.6966169225207E+018,
8.08297920227051,0.198212146759033,-2.31721259063023,1.69661692257083E+018,
8.07693004608154,0.186095744371414,-2.25372731417461,1.69661692261668E+018,
8.06965827941895,0.168997183442116,-2.19024203771898,1.69661692268074E+018,
8.0647087097168,0.155275985598564,-2.12675676126336,1.69661692273073E+018,
8.06098937988281,0.142000541090965,-2.06327148480774,1.69661692277604E+018,
8.05790519714356,0.129436925053597,-1.99978620835212,1.69661692282082E+018,
8.05546092987061,0.115346275269985,-1.93630093189649,1.69661692287084E+018,
8.05380439758301,0.10091083496809,-1.87281565544087,1.69661692292078E+018,
8.05298328399658,0.0862377285957336,-1.80933037898525,1.69661692297088E+018,
8.05315208435059,0.0728780999779701,-1.74584510252963,1.6966169230166E+018,
8.054368019104,0.0541669689118862,-1.682359826074,1.69661692308074E+018,
8.05650615692139,0.0397912710905075,-1.61887454961838,1.69661692313091E+018,
8.05944156646729,0.0268441941589117,-1.55538927316276,1.69661692317671E+018,
8.06272792816162,0.0144570022821426,-1.49190399670714,1.69661692322079E+018,
8.06718254089356,0.000735313864424825,-1.42841872025151,1.69661692327074E+018,
8.07247543334961,-0.0129577135667205,-1.36493344379589,1.69661692332069E+018,
8.07831478118897,-0.0258808322250843,-1.30144816734027,1.69661692337182E+018,
8.08482646942139,-0.0376403592526913,-1.23796289088465,1.69661692341702E+018,
8.09437084197998,-0.0530799701809883,-1.17447761442902,1.69661692348072E+018,
8.10300064086914,-0.0651089027523994,-1.1109923379734,1.6966169235318E+018,
8.11174297332764,-0.0754678621888161,-1.04750706151778,1.69661692357774E+018,
8.12024402618408,-0.0845132172107697,-0.984021785062154,1.69661692362075E+018,
8.13064098358154,-0.0945211499929428,-0.920536508606532,1.69661692367072E+018,
8.14231777191162,-0.104515880346298,-0.857051232150909,1.69661692372075E+018,
8.15460109710693,-0.114087790250778,-0.793565955695287,1.69661692377193E+018,
8.16625690460205,-0.121555261313915,-0.730080679239664,1.69661692381787E+018,
8.18287944793701,-0.131044492125511,-0.666595402784041,1.69661692388075E+018,
8.19620800018311,-0.137367382645607,-0.603110126328419,1.69661692392876E+018,
8.21011066436768,-0.143276736140251,-0.539624849872796,1.69661692397796E+018,
8.22222423553467,-0.147675439715385,-0.476139573417173,1.69661692402085E+018,
8.23669052124023,-0.151849672198296,-0.412654296961551,1.69661692407072E+018,
8.25158882141113,-0.155175164341927,-0.349169020505928,1.69661692412069E+018,
8.26600170135498,-0.157704263925552,-0.285683744050305,1.69661692416889E+018,
8.28470420837402,-0.159582868218422,-0.222198467594683,1.69661692422992E+018,
8.29356670379639,-0.160024613142014,-0.15871319113906,1.69661692426074E+018,
8.31405448913574,-0.159716412425041,-0.0952279146834377,1.69661692432871E+018,
8.32929039001465,-0.158340096473694,-0.0317426382278151,1.69661692437872E+018,
8.34195995330811,-0.156431883573532,0.0317426382278075,1.69661692442082E+018,
8.35695171356201,-0.15331919491291,0.0952279146834301,1.69661692447079E+018,
8.37179851531982,-0.14935302734375,0.158713191139053,1.69661692452098E+018,
8.38534164428711,-0.144648313522339,0.222198467594675,1.69661692456986E+018,
8.39914512634277,-0.139117211103439,0.285683744050298,1.69661692461907E+018,
8.41026210784912,-0.133906692266464,0.349169020505921,1.69661692466075E+018,
8.42860889434814,-0.123972564935684,0.412654296961543,1.69661692472974E+018,
8.44124984741211,-0.115696631371975,0.476139573417166,1.6966169247798E+018,
8.45134544372559,-0.108308471739292,0.539624849872789,1.69661692482181E+018,
8.46323776245117,-0.0986534208059311,0.603110126328411,1.69661692487174E+018,
8.47454261779785,-0.0883943885564804,0.666595402784034,1.69661692492387E+018,
8.48428440093994,-0.0779160633683205,0.730080679239656,1.69661692496986E+018,
8.49385070800781,-0.0663813054561615,0.793565955695279,1.69661692501969E+018,
8.50512504577637,-0.0513912476599216,0.857051232150902,1.6966169250826E+018,
8.51278305053711,-0.038620088249445,0.920536508606524,1.69661692512995E+018,
8.52029037475586,-0.0256370194256306,0.984021785062147,1.69661692518082E+018,
8.52536487579346,-0.0145457591861486,1.04750706151777,1.69661692522084E+018,
8.5313720703125,-0.000695832539349794,1.11099233797339,1.69661692527177E+018,
8.53633594512939,0.0136929154396057,1.17447761442901,1.6966169253208E+018,
8.54057788848877,0.0281321555376053,1.23796289088464,1.6966169253699E+018,
8.54388332366943,0.0427836813032627,1.30144816734026,1.69661692542071E+018,
8.54588603973389,0.0549355000257492,1.36493344379588,1.69661692546075E+018,
8.54796886444092,0.0758146345615387,1.42841872025151,1.69661692553075E+018,
