acc_x (m/s^2), acc_y (m/s^2), angular_z (rad/s), stamp, 
0.032727718353271484,-0.010690748691558838,-4.4776097271370645e-05,1696616965432017564,
0.012744009494781494,-0.012487292289733887,-5.4268003373101165e-05,1696616965441067629,
-0.04112136363983154,0.014449238777160645,-4.956114539971743e-05,1696616965451127826,
-0.023114919662475586,0.0036622285842895508,-3.856497382632121e-05,1696616965464153456,
-0.05548429489135742,0.010804235935211182,-7.257507489254094e-05,1696616965471075280,
-0.024925947189331055,0.014338374137878418,-4.9638596898875184e-05,1696616965481270835,
-0.02833878993988037,0.021448910236358643,-5.191953005138377e-05,1696616965491090665,
-0.02289581298828125,0.0410618782043457,-5.17255525467347e-05,1696616965501091725,
0.02565765380859375,0.024731695652008057,-4.9358635010979025e-05,1696616965511648297,
0.016855359077453613,-0.013104557991027832,-5.4904606234633994e-05,1696616965521138811,
0.023878037929534912,-0.009637534618377686,-5.273199170523914e-05,1696616965531161832,
0.049001216888427734,-0.009718596935272217,-4.166969033877657e-05,1696616965543845922,
0.016758263111114502,-0.05280792713165283,-7.107462311458055e-05,1696616965551334898,
0.005840003490447998,-0.03121495246887207,-5.423649912773421e-05,1696616965561217737,
0.0004648566246032715,-0.022149860858917236,-5.357678336884023e-05,1696616965571222338,
-0.026345491409301758,-0.018456876277923584,0.0009529446613767831,1696616965581221870,
-0.040369272232055664,0.004934489727020264,0.005575283577660409,1696616965601312626,
-0.038598477840423584,0.028240680694580078,0.0040155340373155,1696616965611487099,
-0.020782291889190674,0.03546422719955444,0.0016338032298765014,1696616965623503806,
-0.013530492782592773,0.028246760368347168,-0.00021735077936484347,1696616965631282412,
-0.00817573070526123,0.0012382268905639648,-0.0006958648746882509,1696616965641393191,
0.018605172634124756,0.003051280975341797,-0.0012316352257730387,1696616965651385753,
0.02205526828765869,-0.00042933225631713867,-0.0037553161895061927,1696616965660320610,
0.026047706604003906,-0.03070056438446045,-0.004114243761554835,1696616965671058471,
0.017100930213928223,-0.01796889305114746,-0.002744011174940556,1696616965681359842,
0.031433939933776855,-0.0036095380783081055,-0.0006971198537578372,1696616965691497059,
0.02614295482635498,-0.03780102729797363,0.0007335401282274629,1696616965703522334,
-0.023886382579803467,-0.03958255052566528,0.0024700967261776833,1696616965711409946,
-0.027333199977874756,0.005467534065246582,0.0019411395930141431,1696616965721496960,
-0.02398616075515747,0.012843608856201172,0.0024997177991291026,1696616965731488054,
-0.022337675094604492,0.01466226577758789,0.004049703354118058,1696616965741577608,
-0.03690880537033081,0.02895939350128174,0.0026611861298434973,1696616965750917859,
-0.0209769606590271,0.034439682960510254,0.0008493302409074253,1696616965761530071,
0.0020914673805236816,-0.02824270725250244,-0.0012060007016858087,1696616965771691323,
0.01647394895553589,-0.010115206241607666,-0.003172782078538814,1696616965783957177,
0.012485206127166748,0.023995399475097656,-0.005128906961667851,1696616965791555141,
0.04130333662033081,-0.010084807872772217,-0.0033549708793542423,1696616965801587210,
0.017611443996429443,-0.02079010009765625,-0.001764643661207107,1696616965811599866,
0.010528922080993652,0.006246507167816162,-0.0007009383523356094,1696616965821618163,
-0.014691531658172607,-0.006192207336425781,0.0014320412441073801,1696616965831610054,
-0.019897937774658203,-0.013302385807037354,0.003538647325506742,1696616965841657472,
-0.030461490154266357,-0.015069901943206787,0.003821580571787558,1696616965850942432,
-0.005271255970001221,0.011813342571258545,0.0019730843700014656,1696616965863522518,
-0.023197054862976074,0.033320844173431396,0.0017415347215548344,1696616965871685447,
-0.03031057119369507,0.03685498237609863,0.0014250057122081026,1696616965881677080,
-0.022655963897705078,-0.0062978267669677734,-0.00017529807995514933,1696616965891769712,
-0.02488178014755249,-0.011616528034210205,-0.0012355584100201607,1696616965901727397,
0.01988697052001953,0.015450358390808105,-0.0022197977883432235,1696616965912056295,
0.044609785079956055,-0.014994561672210693,-0.003997180485251895,1696616965921796087,
0.030143260955810547,-0.023816049098968506,-0.00497022337624011,1696616965931771243,
0.006613254547119141,-0.03459733724594116,-0.002361227869724325,1696616965943798063,
0.005185067653656006,-0.011347711086273193,-0.0002346209538437823,1696616965951801265,
-0.005028665065765381,-0.0027878284454345703,0.0040695670664182585,1696616965981860085,
-0.052879512310028076,0.0023302435874938965,0.0008857585756276525,1696616966001870012,
-0.027712106704711914,0.03248262405395508,-0.00019798745393720757,1696616966032622263,
0.021021246910095215,-0.007192671298980713,-0.0001809783189964356,1696616966042624398,
0.0798865556716919,-0.0162392258644104,-0.0024606740704834693,1696616966051990827,
-0.006861746311187744,0.0036906003952026367,-0.002809932171920057,1696616966072686428,
0.02760612964630127,-0.007138729095458984,-0.00125096367682751,1696616966082635859,
-0.011328399181365967,-0.02157062292098999,0.0021412934746755726,1696616966104205018,
-0.014611005783081055,-0.0019285082817077637,0.0029439302423434357,1696616966112609820,
-0.03796553611755371,-0.028865933418273926,0.00247005251141241,1696616966122657262,
-0.016447067260742188,-0.007286369800567627,0.00208606931936034,1696616966134556084,
-0.022032082080841064,0.03583800792694092,0.0011021692436476588,1696616966142627861,
0.0029465556144714355,0.03396153450012207,-0.0007039208894640753,1696616966152735404,
-0.029352128505706787,0.028517484664916992,-0.0012346793530729552,1696616966162785448,
0.013805150985717773,0.028472602367401123,-0.0023269283308326185,1696616966172682420,
0.04959917068481445,0.02114766836166382,-0.0026058889020140804,1696616966183578578,
0.023018956184387207,0.0011965036392211914,-0.002535948741436713,1696616966192704014,
0.017824888229370117,-0.011626839637756348,-0.0017843869977723114,1696616966202712649,
-0.007481575012207031,-0.027910888195037842,0.0002965663727936581,1696616966214544955,
0.0037727952003479004,-0.035204172134399414,0.0030185590350828,1696616966222761738,
-0.03751349449157715,-0.017483949661254883,0.004035118421487257,1696616966232835873,
-0.02296394109725952,-0.003197968006134033,0.004613407911176958,1696616966242796320,
-0.048427462577819824,-0.0013794898986816406,0.003002672369048596,1696616966252854465,
-0.024753808975219727,0.02025836706161499,0.0013300661948723264,1696616966263570492,
-0.02486330270767212,0.014891982078552246,-0.0007661374442993523,1696616966272789456,
0.005543351173400879,0.027475416660308838,-0.0017681312115679416,1696616966282807451,
-0.02530449628829956,0.029164135456085205,-0.001477310640566777,1696616966294807783,
-0.0016106367111206055,-0.010218381881713867,-0.004205040681565106,1696616966302816314,
0.026891589164733887,-0.02437877655029297,-0.0037782104750199033,1696616966313114009,
0.0325738787651062,-0.004466056823730469,-0.0028355389491462484,1696616966323080490,
0.022164344787597656,0.002736687660217285,-0.00178028755168591,1696616966333074395,
-0.013713717460632324,-0.026081502437591553,-0.0011900288260896811,1696616966343555061,
-0.008176803588867188,-0.04600632190704346,0.001045127333242373,1696616966351892276,
0.02047288417816162,0.004082977771759033,0.003176902995786386,1696616966363013374,
-0.04200249910354614,0.02731168270111084,0.0028405996753449896,1696616966375456308,
-0.04887270927429199,0.01278775930404663,0.0033677151283463725,1696616966382799067,
-0.007658779621124268,0.0037530064582824707,0.0008572956685276662,1696616966393115193,
0.01735055446624756,0.0002492666244506836,-0.0007303656817276138,1696616966402759332,
-0.004569411277770996,0.003985404968261719,-0.001771587551064767,1696616966412743083,
0.02819269895553589,-0.0011497735977172852,-0.002507224153338432,1696616966424002680,
0.02969205379486084,-0.015347838401794434,-0.0026215652801258055,1696616966432771685,
0.06177467107772827,-0.022351562976837158,-0.002298245639223734,1696616966442777454,
0.03784865140914917,-0.011577129364013672,-0.0022741779938628753,1696616966455280858,
0.021850168704986572,-0.011568009853363037,-0.0030863539649581655,1696616966462793368,
0.0018406510353088379,-0.027633368968963623,0.0003423377279998616,1696616966473098054,
0.0003389120101928711,-0.016687333583831787,0.004626864947010783,1696616966481895821,
-0.03576207160949707,0.01386791467666626,0.0032361996165797594,1696616966492844160,
-0.013859689235687256,0.010332226753234863,0.002228440098753333,1696616966503969266,
-0.001336514949798584,0.006697893142700195,0.0033775964779723783,1696616966512875500,
-0.008298933506011963,0.013783872127532959,0.002476282881651869,1696616966522866121,
-0.01387864351272583,0.024348974227905273,0.00025800555535633444,1696616966536063206,
0.0003420710563659668,0.02063584327697754,-0.0021367565607894436,1696616966541914111,
0.023910701274871826,-0.0007458925247192383,-0.0025727683272525116,1696616966552950514,
0.012646019458770752,0.0030713677406311035,-0.004429894764065671,1696616966562935740,
0.04636120796203613,-0.014505624771118164,-0.003277304160330175,1696616966573153117,
0.017162740230560303,-0.02509593963623047,-0.0015890154229634874,1696616966584246601,
-0.01143556833267212,-0.026898860931396484,-0.0002423888997385615,1696616966591931300,
-0.03648859262466431,-0.005325138568878174,0.0014171448489480288,1696616966601920342,
-0.03447192907333374,-0.023173928260803223,0.0006597719912282361,1696616966616177114,
-0.04184412956237793,-0.005140841007232666,-9.672725332053538e-05,1696616966622955345,
-0.05034351348876953,0.003959953784942627,-6.531080990384398e-05,1696616966632994126,
-0.03255969285964966,-0.004970431327819824,-6.478956274153495e-05,1696616966643056209,
-0.01593005657196045,0.013079404830932617,-6.543584073566383e-05,1696616966653018958,
-0.0014719367027282715,0.03283500671386719,-6.626826362614644e-05,1696616966662912813,
0.01309293508529663,0.007690608501434326,-6.465190040983061e-05,1696616966672996416,
0.031139612197875977,-0.019226491451263428,-6.502325080479409e-05,1696616966683022446,
0.04555249214172363,0.0005553960800170898,-5.49142323819884e-05,1696616966694894147,
0.05818915367126465,-0.0029981136322021484,-7.986607438961266e-05,1696616966703056871,
0.030855000019073486,-0.04424828290939331,-6.568662547090202e-05,1696616966713038337,
-0.03728592395782471,-0.045878052711486816,-6.554766813801657e-05,1696616966723040951,
-0.03932797908782959,-0.02955716848373413,-6.541946941766082e-05,1696616966733063190,
-0.012241125106811523,-0.009605109691619873,-5.9468020498806646e-05,1696616966744088437,
-0.01758795976638794,-0.009422719478607178,-7.2861847965454e-05,1696616966753035844,
-0.029821813106536865,0.028448164463043213,-6.584781819297727e-05,1696616966762992906,
-0.0066345930099487305,0.0338781476020813,-5.0477737589859075e-05,1696616966775981840,
0.0008295178413391113,0.0141829252243042,-9.208185025126002e-05,1696616966783061711,
0.007964849472045898,0.012395322322845459,-6.327198040544106e-05,1696616966793365290,
-0.02101200819015503,-0.006566226482391357,0.0,1696616966803121597,
0.018568456172943115,-0.008290410041809082,-0.0005908859851614779,1696616966813038676,
0.036150574684143066,-0.010041356086730957,-0.00212388589399328,1696616966823583680,
0.03337651491165161,-0.015337884426116943,-0.003465424369336143,1696616966833129571,
0.03426504135131836,-0.018895983695983887,0.0009491692780101505,1696616966843204450,
0.32523155212402344,0.04629838466644287,0.016783859493814147,1696616966855858067,
0.8475229740142822,0.23013830184936523,0.10791675549374521,1696616966863197442,
0.6991190910339355,0.4581529498100281,0.16961313539251527,1696616966873207385,
0.1815693974494934,0.3748469948768616,0.25773644479133234,1696616966883242507,
-0.2756994366645813,0.32416045665740967,0.34699712032615554,1696616966893137093,
-0.5239542722702026,0.5437102913856506,0.42710745246451814,1696616966903607282,
0.03225475549697876,0.6413873434066772,0.5802973864507222,1696616966913175306,
0.5786306262016296,0.5311990976333618,0.630639146112564,1696616966923221270,
0.17825812101364136,0.438226580619812,0.541143243984604,1696616966936038240,
-0.6407985091209412,0.46813148260116577,1.0454410167332178,1696616966943290377,
