x (m), y (m), th (rad), stamp, 
7.60693073272705,1.27716481685638,-0.685278515340706,1.69661696663377E+018,
7.60693073272705,1.27716481685638,-0.587381584577748,1.6966169666624E+018,
7.60693073272705,1.27716481685638,-0.48948465381479,1.69661696671351E+018,
7.60693073272705,1.27716481685638,-0.391587723051832,1.69661696676197E+018,
7.60692977905273,1.27716588973999,-0.293690792288874,1.69661696682303E+018,
7.607253074646,1.27695488929749,-0.195793861525916,1.69661696687299E+018,
7.60873746871948,1.2772274017334,-0.0978969307629576,1.69661696692199E+018,
7.61107444763184,1.27781403064728,4.71844785465692E-16,1.69661696697203E+018,
7.6139121055603,1.27802872657776,0.0978969307629586,1.69661696702317E+018,
7.6166033744812,1.27829098701477,0.195793861525917,1.69661696706329E+018,
7.62200021743774,1.27934968471527,0.293690792288875,1.69661696713328E+018,
7.62634420394897,1.28065180778503,0.391587723051833,1.69661696718212E+018,
7.63067197799683,1.28235733509064,0.489484653814791,1.69661696722336E+018,
7.63540840148926,1.28457856178284,0.587381584577749,1.69661696727438E+018,
7.63893985748291,1.28731143474579,0.685278515340707,1.69661696732227E+018,
7.64263868331909,1.29047024250031,0.783175446103665,1.69661696737236E+018,
7.64623022079468,1.29376316070557,0.881072376866623,1.69661696742349E+018,
7.64882659912109,1.29703223705292,0.978969307629582,1.69661696746395E+018,
7.65191078186035,1.30154669284821,1.07686623839254,1.69661696751248E+018,
7.65555286407471,1.308469414711,1.1747631691555,1.6966169675835E+018,
7.65722513198853,1.31221830844879,1.27266009991846,1.69661696762359E+018,
7.658607006073,1.31672132015228,1.37055703068141,1.69661696767226E+018,
7.65995359420776,1.32144796848297,1.46845396144437,1.69661696772231E+018,
7.66062498092651,1.3264012336731,1.56635089220733,1.69661696777239E+018,
7.66088151931763,1.33198595046997,1.66424782297029,1.69661696782316E+018,
7.6606822013855,1.33598685264587,1.76214475373325,1.69661696786368E+018,
7.65965938568115,1.34037590026855,1.8600416844962,1.69661696791234E+018,
7.65800619125366,1.34798192977905,1.95793861525916,1.69661696798325E+018,
7.65635919570923,1.35186958312988,2.05583554602212,1.69661696802366E+018,
7.65392589569092,1.3562502861023,2.15373247678508,1.69661696807216E+018,
7.65104293823242,1.36058306694031,2.25162940754804,1.69661696812215E+018,
7.64816093444824,1.36460220813751,2.34952633831099,1.69661696817219E+018,
7.64484596252441,1.36815357208252,2.44742326907395,1.69661696822316E+018,
7.64156293869019,1.37075161933899,2.54532019983691,1.69661696826343E+018,
7.63738298416138,1.37360048294067,2.64321713059987,1.69661696831191E+018,
7.63085889816284,1.37739515304565,2.74111406136283,1.69661696838303E+018,
7.62718820571899,1.37885737419128,2.83901099212579,1.69661696842304E+018,
7.62249231338501,1.37990117073059,2.93690792288874,1.69661696847202E+018,
7.61768531799316,1.38086950778961,3.0348048536517,1.69661696852201E+018,
7.61318254470825,1.38162577152252,3.13270178441466,1.69661696857204E+018,
7.60771083831787,1.3816659450531,-3.13270178441466,1.69661696862314E+018,
7.60355472564697,1.38164710998535,-3.0348048536517,1.69661696866445E+018,
7.59888124465942,1.38041710853577,-2.93690792288874,1.69661696871209E+018,
7.59203195571899,1.37844252586365,-2.83901099212578,1.69661696878302E+018,
7.58805990219116,1.37701177597046,-2.74111406136283,1.69661696882405E+018,
7.5840048789978,1.37454867362976,-2.64321713059987,1.69661696887205E+018,
7.57973718643189,1.37193059921265,-2.54532019983691,1.69661696892208E+018,
7.57516622543335,1.36863839626312,-2.44742326907395,1.69661696897302E+018,
7.57127046585083,1.36495745182037,-2.34952633831099,1.69661696902314E+018,
7.56833934783936,1.3617696762085,-2.25162940754804,1.696616969063E+018,
7.56534910202026,1.35742962360382,-2.15373247678508,1.69661696911202E+018,
7.56167125701904,1.35103571414948,-2.05583554602212,1.69661696918215E+018,
7.55986022949219,1.34712624549866,-1.95793861525916,1.69661696922321E+018,
7.55796813964844,1.34177958965302,-1.8600416844962,1.69661696927603E+018,
7.55726051330566,1.3375232219696,-1.76214475373325,1.69661696931808E+018,
7.55603313446045,1.33196353912354,-1.66424782297029,1.69661696936926E+018,
7.55581474304199,1.32660782337189,-1.56635089220733,1.69661696941915E+018,
7.55587244033814,1.3214590549469,-1.46845396144437,1.69661696946723E+018,
