e, e_dot, e_int, stamp, 
0.05872866036612687, 0.0, 0.011745732073225374, 1701465038388270171, 
0.05872866036612687, 0.0, 0.011745732073225374, 1701465038388270171, 
0.05871996408987338, -2.898758751162615e-05, 0.01174515232147514, 1701465038737426655, 
0.05872509859365437, -1.1872574908316133e-05, 0.011744914869976975, 1701465038837591542, 
0.058724040780812115, 1.3588969795784908e-05, 0.011744606897622658, 1701465038932346693, 
0.05824949699574198, -0.0015853386597079744, 0.011713242424680564, 1701465039042286384, 
0.05503757171819819, -0.012288230208713086, 0.011467407299650153, 1701465039133276796, 
0.05776919743254466, -0.0016009985439910622, 0.011403751076432322, 1701465039234280283, 
0.05433631871031093, -0.002337510026290864, 0.011142872524070252, 1701465039332407699, 
0.05286680372266986, -0.016341312366249344, 0.010998154657701698, 1701465039443266741, 
0.03162914010167331, -0.0756905953621254, 0.009255484168976938, 1701465039532575212, 
0.029271039064293545, -0.07865254886125438, 0.0075844655259091134, 1701465039637317809, 
0.02614430171208748, -0.01828279463195276, 0.005802965391870289, 1701465039727651669, 
0.020533443720610348, -0.029125317812277323, 0.005063252299799425, 1701465039837333392, 
-0.002403941241789581, -0.09516080984625687, 0.0029515869460605497, 1701465039937304058, 
-0.01062897085379183, -0.10387471524800725, 0.0005000354416685957, 1701465040037373284, 
-0.017839883940140126, -0.051453142327835155, -0.002058186402381436, 1701465040132457583, 
-0.019545274093427788, -0.029721010798786526, -0.0032009419258239827, 1701465040222281613, 
-0.020217592210490423, -0.00792569423450099, -0.0038401833496038893, 1701465040333313744, 
-0.020446941594057425, -0.003005558335432123, -0.004013987193198376, 1701465040433458467, 
-0.03235646191263438, -0.04046289900714652, -0.004868066381145482, 1701465040532342973, 
-0.03206140444361989, -0.038714876165208224, -0.005657653863354113, 1701465040622306437, 
-0.03163344965521288, 0.0024100408580716762, -0.0064034210674311426, 1701465040732318429, 
-0.034388620497907876, -0.007757386847626613, -0.006538898306449377, 1701465040838371819, 
-0.03704778076847237, -0.018047770377531646, -0.006871323394772875, 1701465040948200088, 
-0.038859201546970354, -0.014901936830208259, -0.007353040187556707, 1701465041027289202, 
-0.042404955598973386, -0.017857249435003383, -0.00788746252762774, 1701465041137313329, 
-0.03988243292796151, -0.003410771269970516, -0.00807643933826035, 1701465041238316597, 
-0.03810098123923272, 0.014346581199135544, -0.008025891317744508, 1701465041327471592, 
-0.03687754923959228, 0.010016278961230765, -0.007657397560452433, 1701465041442430976, 
-0.03514752873896166, 0.00984484166757021, -0.007341737281185776, 1701465041533436550, 
-0.3268035530485241, -0.9664200126964393, -0.026588575401805203, 1701465041633496187, 
-0.3427283592541246, -1.0252694350505431, -0.04697862940277402, 1701465041732549700, 
-0.35996930565625695, -0.11055250869244286, -0.06863341453059371, 1701465041822340359, 
-0.37845384093314843, -0.11908493893007947, -0.07207676705623532, 1701465041933497089, 
-0.40073633036489886, -0.1358900823621397, -0.07594396513028695, 1701465042033304863, 
-0.3163466657948155, 0.20702391712777637, -0.07303578913952419, 1701465042132720730, 
-0.33099397338075626, 0.23247452328047535, -0.0698717979693647, 1701465042242328484, 
-0.3395658178994323, -0.07739717368205594, -0.06579376380500028, 1701465042332597524, 
-0.3046462759514308, 0.08782565809775156, -0.06501373781544129, 1701465042433322501, 
-0.26404833726517757, 0.2517249354475158, -0.06055069540773605, 1701465042532728827, 
-0.26284577458556063, 0.13933500455290052, -0.055436025853477934, 1701465042642293916, 
-0.3844572021489885, -0.40136288294603634, -0.06075675426664844, 1701465042734416092, 
-0.3711517518474174, -0.3610199242061891, -0.06789698190546443, 1701465042833311769, 
-0.3746926722762465, 0.032548432909140036, -0.07535344175151015, 1701465042932547092, 
-0.36567006426749693, 0.01827229193306819, -0.07410096589274406, 1701465043042726450, 
-0.3637460318821256, 0.036488801313736184, -0.07360725122839126, 1701465043132411295, 
-0.3705137138656679, -0.016145498660569874, -0.07332865400101936, 1701465043237347018, 
-0.41077106605614944, -0.15675011391341273, -0.07633538745359619, 1701465043327626487, 
-0.40653177439252736, -0.1200602017561982, -0.07918777028762297, 1701465043438303504, 
-0.377309841798884, 0.11153741419088481, -0.07964084548317073, 1701465043537879983, 
-0.3612113356286011, 0.15106812921308757, -0.07633686345466749, 1701465043638319180, 
-0.3546841143882173, 0.07541909136888902, -0.0728803527877135, 1701465043727750425, 
-0.336560503280624, 0.08216944115992368, -0.0701637302198295, 1701465043838318943, 
-0.3185445113931691, 0.12046534331682734, -0.0673192752708007, 1701465043933448441, 
-0.2975203519999168, 0.13013383760235733, -0.06350835777824733, 1701465044033659540, 
-0.28464843250695937, 0.11298692962069905, -0.06004755306000301, 1701465044132625362, 
-0.262163196266457, 0.11785718577819922, -0.05628879871822221, 1701465044242405534, 
-0.24829689902082397, 0.121171778287118, -0.05300723518628269, 1701465044333385045, 
-0.2283268262551139, 0.11278790003781032, -0.04925246143615966, 1701465044433324333, 
-0.18253769537218945, 0.21919734549544842, -0.043944094709875155, 1701465044528648853, 
-0.167871231018771, 0.20151865078780973, -0.03858238350973829, 1701465044638360166, 
-0.1517350814190197, 0.10267537984389914, -0.03347626718733201, 1701465044737439358, 
-0.13961049416112248, 0.09420245619216172, -0.03061445377326088, 1701465044838332284, 
-0.12686274027944222, 0.0829078037985916, -0.02788055439063896, 1701465044927943770, 
-0.11384965420646076, 0.08586946651553906, -0.02535485924313503, 1701465045038323563, 
-0.10159436359409713, 0.08422792228448366, -0.022820450538666673, 1701465045134535886, 
-0.05753632777031792, 0.18771108812047613, -0.018198689704725053, 1701465045233337041, 
-0.05068772133937116, 0.16968880751575321, -0.013987894180252413, 1701465045332639703, 
-0.04514338130301854, 0.041309821557664606, -0.010224495360847175, 1701465045442406610, 
-0.03751575141223895, 0.04390656642377403, -0.008889790270308576, 1701465045533341084, 
-0.030372266885751453, 0.049237048057556944, -0.007535426640067263, 1701465045633350929, 
-0.02527884021934368, 0.04078970397631757, -0.006211123901155606, 1701465045729010179, 
-0.022449416267263933, 0.026409502061625068, -0.005206701558157271, 1701465045827527104, 
-0.019501262772198213, 0.019258591490484884, -0.004481967950587055, 1701465045937324982, 
0.012475888663605939, 0.11641768310289957, -0.0019649860250570807, 1701465046038329300, 
0.016849548675856085, 0.12116937149351432, 0.0006549449711509207, 1701465046078433587, 
0.021243346853481948, 0.02922486063292003, 0.003371252279529598, 1701465046228334249, 
0.02737358671857304, 0.03508012680905651, 0.004364432149860738, 1701465046334378150, 
0.028806675097079792, 0.025211094145326147, 0.005161573911275652, 1701465046434338057, 
0.028962523011721752, 0.005296454310495709, 0.0056761856551583055, 1701465046532695388, 
0.02793937304822136, -0.0028910068295281053, 0.005713904743801527, 1701465046642469188, 
0.0251136592225627, -0.012829545963863506, 0.005467703685500387, 1701465046734491350, 
0.20971664092196218, 0.6059242262458028, 0.017517978212849748, 1701465046833689144, 
0.21782776864622477, 0.6423803647455403, 0.030177204586049975, 1701465046933761074, 
0.22930071820099196, 0.06528025759676592, 0.04378967518461193, 1701465047028785198, 
0.24292380919927614, 0.08365346851017123, 0.04600348640309952, 1701465047138448357, 
0.25334509742501077, 0.08014793074672937, 0.04837130832168526, 1701465047238341085, 
0.26737540126339776, 0.0815053068804054, 0.05090962052584564, 1701465047328712054, 
0.2818246815574478, 0.09493194710812336, 0.05350301201639042, 1701465047438435676, 
0.4380806409433805, 0.5690174655999425, 0.06581871491761507, 1701465047538453483, 
0.4247406442828459, 0.47638654241799383, 0.07630973111891161, 1701465047639438768, 
0.3981927733454015, -0.13295955865993006, 0.08406760390477519, 1701465047734040473, 
0.41035549261540183, -0.04795050555814695, 0.08221926068290995, 1701465047843397963, 
0.4077673212748117, 0.03191515976470068, 0.08108770581570766, 1701465047933531674, 
0.41369105367508785, 0.011118536865620069, 0.08212092450435342, 1701465048033709861, 
0.43178882898691107, 0.08007169237366459, 0.08354981359578736, 1701465048133729878, 
0.4246868265602556, 0.03665257628389244, 0.08467778061481696, 1701465048223470366, 
0.4681118507687031, 0.12107673927264011, 0.08830583375439133, 1701465048338391616, 
0.46113880686776276, 0.12150660102502393, 0.0902624989464481, 1701465048438362928, 
0.47222326672287135, 0.013704719847227506, 0.09343159495728914, 1701465048528810556, 
0.45751316084812554, -0.012085486732124062, 0.09272501562925065, 1701465048628943180, 
0.4684021308543517, -0.012737119561732254, 0.09320923722835657, 1701465048738398446, 
0.4573652975877444, -0.0004928775346037714, 0.09221870595268143, 1701465048838371063, 
0.44741586197607464, -0.06995422959425679, 0.09154555269454472, 1701465048933725841, 
0.4395684652076123, -0.05932277460044044, 0.08962330831809542, 1701465049023403838, 
0.4362626020972898, -0.03717753292928283, 0.08821646195206512, 1701465049133462522, 
0.4308464711828522, -0.02907331341586698, 0.08711183589918362, 1701465049233627955, 
0.08448883967857598, -1.1725792080623794, 0.06343986086391454, 1701465049333775461, 
0.04969355692391217, -1.2705097141964667, 0.037668591185689354, 1701465049423488415, 
0.015239478445741833, -0.23083120410944716, 0.009961458336548665, 1701465049539386019, 
-0.01914351076479956, -0.22945689229570576, 0.0030526349736569626, 1701465049638374636, 
-0.05502204843620913, -0.2342050896065032, -0.003928405383684457, 1701465049728828827, 
-0.09373040245965529, -0.24862297231618577, -0.011193064110710933, 1701465049828721463, 
-0.08558764941751282, -0.10188533660434562, -0.01562267335422515, 1701465049938473254, 
-0.07722916768379934, 0.05500411591951984, -0.01710314797073116, 1701465050038465996, 
-0.0553262003446818, 0.10087149690943671, -0.014542867829732931, 1701465050133886847, 
-0.043807810535043124, 0.11140452382918738, -0.011757545237568284, 1701465050223611969, 
-0.04436628903954083, 0.036533037683803234, -0.009566686661284384, 1701465050333489308, 
-0.03535402764570311, 0.028179276297800038, -0.00823520848135247, 1701465050434383611, 
-0.026025014843474983, 0.06113758065355283, -0.007049688768581262, 1701465050533838143, 
-0.25460819058872686, -0.7308472098100792, -0.021065815538526995, 1701465050623514064, 
