x, y, theta, stamp, 
-0.9874306321144104, 0.9424266219139099, -1.0895794400974863, 1697833250313210481, 
-0.9874306321144104, 0.9424266219139099, -1.0895794400974863, 1697833250363298829, 
-0.9874305725097656, 0.9424268007278442, -1.08958139150299, 1697833250403037857, 
-0.9874305725097656, 0.9424268007278442, -1.08958139150299, 1697833250452951075, 
-0.9856447577476501, 0.9394242167472839, -1.0817579367957282, 1697833250518315047, 
-0.9829738140106201, 0.9341471791267395, -1.0795573511701697, 1697833250568010945, 
-0.9788322448730469, 0.9265725016593933, -1.079290018118756, 1697833250617836739, 
-0.9744174480438232, 0.9185510277748108, -1.0767187152559838, 1697833250663826527, 
-0.9691183567047119, 0.9087812304496765, -1.0742246804147257, 1697833250708774174, 
-0.9620670676231384, 0.8959884643554688, -1.0697264203605878, 1697833250757927619, 
-0.9541962146759033, 0.8820995688438416, -1.0671169123659563, 1697833250807628507, 
-0.9463276267051697, 0.8677898645401001, -1.0637231567629153, 1697833250858231821, 
-0.9370787739753723, 0.851405680179596, -1.0594507784750038, 1697833250917813820, 
-0.9297935962677002, 0.8382542729377747, -1.056614797283735, 1697833250967886039, 
-0.9152857661247253, 0.8132164478302002, -1.0548428574272803, 1697833251064905648, 
-0.9010196328163147, 0.7884401082992554, -1.0477140716149338, 1697833251159275849, 
-0.8852823376655579, 0.7619060277938843, -1.0369670843002032, 1697833251259146721, 
-0.8677864670753479, 0.7326931953430176, -1.027332870871698, 1697833251368270337, 
-0.8519984483718872, 0.7068023681640625, -1.0173282035999651, 1697833251465112923, 
-0.8365759253501892, 0.6825891733169556, -1.0096151774951283, 1697833251558115134, 
-0.8184588551521301, 0.6537461876869202, -1.0021281832034374, 1697833251668741410, 
-0.8013902306556702, 0.6275218725204468, -0.996143835993377, 1697833251768312105, 
-0.784517765045166, 0.6023090481758118, -0.9896690276085194, 1697833251866410379, 
-0.7685516476631165, 0.5785675048828125, -0.9836841331546492, 1697833251957917903, 
-0.7513247728347778, 0.5532808303833008, -0.9780240439155461, 1697833252055846604, 
-0.7316703200340271, 0.5250051021575928, -0.9662962838989565, 1697833252167896587, 
-0.714501142501831, 0.500305712223053, -0.9579873496532473, 1697833252265851976, 
-0.6979149580001831, 0.476887971162796, -0.9506778251684315, 1697833252357954304, 
-0.6797176003456116, 0.45268791913986206, -0.9415261581178339, 1697833252457074021, 
-0.66294264793396, 0.4301430284976959, -0.9354658173626037, 1697833252547757750, 
-0.6411649584770203, 0.40069663524627686, -0.9246434199363434, 1697833252665850801, 
-0.623715877532959, 0.37825196981430054, -0.9101562263913624, 1697833252759915853, 
-0.6047621965408325, 0.3544202446937561, -0.8978378266690906, 1697833252856772994, 
-0.5826290249824524, 0.3273049294948578, -0.88519142312481, 1697833252970829524, 
-0.56255704164505, 0.3031640350818634, -0.873079985686172, 1697833253067841219, 
-0.5443600416183472, 0.2819429934024811, -0.8644299247341694, 1697833253158966461, 
-0.5240491628646851, 0.2589426338672638, -0.8515313837514458, 1697833253257804067, 
-0.5008593201637268, 0.2332446426153183, -0.832458615736306, 1697833253367866687, 
-0.4797656536102295, 0.21076685190200806, -0.8135982955732716, 1697833253467848621, 
-0.459669828414917, 0.19015631079673767, -0.8013486916741813, 1697833253559013209, 
-0.43768569827079773, 0.168283149600029, -0.7831930345946597, 1697833253658015362, 
-0.4128430485725403, 0.1448521614074707, -0.7609439121641325, 1697833253767962760, 
-0.38979372382164, 0.12399471551179886, -0.7390437786963915, 1697833253868853156, 
-0.368937611579895, 0.10587853938341141, -0.7138548201539627, 1697833253959013797, 
-0.34480735659599304, 0.08643674850463867, -0.6893387127512676, 1697833254058111494, 
-0.3176366090774536, 0.0653218999505043, -0.6611619223162537, 1697833254167678467, 
-0.29188984632492065, 0.04680892080068588, -0.6239126323672478, 1697833254268851116, 
-0.268894225358963, 0.03153600916266441, -0.5938062877006923, 1697833254360019341, 
-0.242121160030365, 0.015041174367070198, -0.5609453130919122, 1697833254458335476, 
-0.2127624750137329, -0.0018835723167285323, -0.5232419241079789, 1697833254567988045, 
-0.1853332668542862, -0.016588859260082245, -0.4884792879857149, 1697833254668857255, 
