imu_ax [m/s^2], imu_ay [m/s^2], kf_ax [m/s^2], kf_ay [m/s^2], kf_vx [m/s], kf_w [rad/s], kf_x [m], kf_y [m], stamp, 
0.029588520526885986, -0.0018025636672973633, 0.010567328759602139, 0.0, 0.0, 0.0, 0.0, 0.0, 1700247862519969361, 
0.013367950916290283, -0.021559178829193115, 0.0118929150686777, 0.0, 0.000578943895983614, 0.0, -2.0676567713700492e-05, 0.0, 1700247862568768533, 
-0.012025594711303711, 0.036192357540130615, -0.00027301361779340574, 5.7033785187065545e-09, 0.0005357608772386762, 1.0645380730489128e-05, -5.7766456828071955e-06, 1.1143065485299098e-11, 1700247862621049574, 
0.0062950849533081055, -0.01420128345489502, 0.003100783482291359, 4.265615572683631e-10, 0.0003448014143445209, 1.2371224116910049e-06, 2.1417365000681767e-05, 1.859627617054563e-11, 1700247862678124576, 
0.6654945611953735, 0.5624560117721558, 0.34521805076761425, 1.0661257003935928e-06, 0.010567415387414486, 0.00010088802808521376, -0.0007184490140083679, 2.1744094052294906e-11, 1700247862709835809, 
0.23833686113357544, 0.03952527046203613, 0.28939008643597697, 0.005321787420986627, 0.023984109268111915, 0.22188805769252448, -0.0012548528413459487, 9.955171228556833e-06, 1700247862819671781, 
0.13077157735824585, -0.2719959616661072, 0.2059875402626753, 0.0025320501439761553, 0.0037686794261795054, 0.6718666826334493, -0.002875541505767589, 6.95166649996769e-05, 1700247862918655397, 
0.1948733925819397, -0.17280817031860352, 0.1987951409275829, -0.020320746614278733, -0.02379201098113114, 0.8540995811743117, -0.006842791654151462, -9.748347006677935e-05, 1700247863059397550, 
0.04854941368103027, 0.021300137042999268, 0.12202642275847568, 0.020719258207954044, 0.022333750614665363, 0.9277106458934323, -0.0066680203238455825, -0.00023429328007383685, 1700247863179728013, 
0.12800580263137817, -0.0732460618019104, 0.12440372454437823, 0.012788042389731217, 0.013070116664094307, 0.9784183812882105, -0.006005989705230454, 5.046955214704611e-05, 1700247863269678776, 
-0.08832961320877075, 0.12042593955993652, 0.015991481714485306, 0.0671206999073024, 0.06863127127242388, 0.9779900424818675, -0.001662867857088756, 0.0013933832080130723, 1700247863369677365, 
