x, y, theta, stamp, 
-0.9457184076309204, -0.9830893278121948, 2.3836779259842924, 1697830859781257978, 
-0.9457184076309204, -0.9830893278121948, 2.3836779259842924, 1697830859820358442, 
-0.9457184076309204, -0.9830893278121948, 2.3836779259842924, 1697830859870445233, 
-0.9457184076309204, -0.9830893278121948, 2.3836779259842924, 1697830859920707368, 
-0.9469558000564575, -0.9820300340652466, 2.3775021393706135, 1697830859970159385, 
-0.9504586458206177, -0.9781464338302612, 2.3613392569092273, 1697830860031230384, 
-0.9544893503189087, -0.973029375076294, 2.341863986260061, 1697830860080139035, 
-0.9593552350997925, -0.9672962427139282, 2.3146712643563467, 1697830860130236862, 
-0.9648185968399048, -0.9612123370170593, 2.284816954652078, 1697830860176151495, 
-0.9710975289344788, -0.9541125297546387, 2.252740599156388, 1697830860220383654, 
-0.9788661599159241, -0.9445971846580505, 2.2123975288922693, 1697830860270771120, 
-0.987265408039093, -0.9334271550178528, 2.165556634425932, 1697830860320633733, 
-0.9952183365821838, -0.9214443564414978, 2.116145742731596, 1697830860370154441, 
-1.010049819946289, -0.8953083753585815, 2.0110641663405326, 1697830860480245803, 
-1.0204936265945435, -0.8714946508407593, 1.9241198063772582, 1697830860576133477, 
-1.0285440683364868, -0.8477953672409058, 1.839342020333676, 1697830860670329013, 
-1.0352845191955566, -0.8209838271141052, 1.7482856565342153, 1697830860771152750, 
-1.039451003074646, -0.7918078899383545, 1.6544159195720178, 1697830860880138108, 
-1.040917992591858, -0.7656702399253845, 1.5772791843896794, 1697830860977144109, 
-1.0406091213226318, -0.7405646443367004, 1.5004426294560946, 1697830861070236562, 
-1.038010597229004, -0.7144243121147156, 1.4251806247363554, 1697830861167395731, 
-1.0329465866088867, -0.6851233839988708, 1.344727744818643, 1697830861280555937, 
-1.0263893604278564, -0.6599369049072266, 1.2769672964098069, 1697830861378623506, 
-1.0188004970550537, -0.6370947957038879, 1.2166710634501132, 1697830861470223080, 
-1.0083246231079102, -0.6120777130126953, 1.153160278549181, 1697830861581007191, 
-0.9973648190498352, -0.5893635153770447, 1.0985254661700938, 1697830861680595882, 
-0.9855673909187317, -0.5679391026496887, 1.0485921420226831, 1697830861778598470, 
-0.9735243320465088, -0.5486108660697937, 1.004138543879437, 1697830861870279415, 
-0.9586573243141174, -0.5271220803260803, 0.9553746770680301, 1697830861981306528, 
-0.9445921778678894, -0.5084670186042786, 0.9142625415971647, 1697830862082221660, 
