e, e_dot, e_int, stamp, 
-1.578907046349261, 0.0, -0.14081838536404834, 1697830859870445233, 
-1.578907046349261, 0.0, -0.15844162635498055, 1697830859920707368, 
-1.5739232465780706, 0.03359350520317061, -0.1572737254242339, 1697830859970159385, 
-1.5615856993806914, 0.10093341776067999, -0.17368382471617186, 1697830860031230384, 
-1.5468475230315488, 0.167786875400835, -0.17165464187826338, 1697830860080139035, 
-1.5251514615557764, 0.2448049305436839, -0.15291830002480547, 1697830860130236862, 
-1.5012911680400607, 0.31758011175855516, -0.14636427928251028, 1697830860176151495, 
-1.4761646203554064, 0.3625756842027048, -0.13529853307301556, 1697830860220383654, 
-1.4448137679152744, 0.396752025845509, -0.13947782902234626, 1697830860270771120, 
-1.408181778951228, 0.4522846289124575, -0.1446662162558832, 1697830860320633733, 
-1.3692194396083401, 0.5071490827402959, -0.13987258244394662, 1697830860370154441, 
-1.2858137708083341, 0.5147976442952498, -0.2161793851026796, 1697830860480245803, 
-1.2173120283595416, 0.4906666063661668, -0.2658739797807716, 1697830860576133477, 
-1.149978028773022, 0.4764092922485011, -0.23146456735943122, 1697830860670329013, 
-1.077825705772299, 0.4768201688595371, -0.22395465716084884, 1697830860771152750, 
-1.0034334185827993, 0.4660726915700401, -0.22598098094272914, 1697830860880138108, 
-0.9430760538121536, 0.4349307069474218, -0.20766230447405978, 1697830860977144109, 
-0.8819309177271297, 0.42634133464730084, -0.17922738179778824, 1697830861070236562, 
-0.8223753357553686, 0.42326362102756176, -0.16788959267230333, 1697830861167395731, 
-0.7590797615515879, 0.39077135079072045, -0.1726992690219032, 1697830861280555937, 
-0.7055504215236812, 0.3683954071139532, -0.1610263623851054, 1697830861378623506, 
-0.6578286367822678, 0.3556080048506325, -0.13418690016584356, 1697830861470223080, 
-0.6075917345287424, 0.32481642627706053, -0.13296411069375216, 1697830861581007191, 
-0.564808671207526, 0.2943547599957135, -0.12834347065880053, 1697830861680595882, 
-0.5258144722517152, 0.27582902954915434, -0.1118508165861582, 1697830861778598470, 
-0.4909664495736825, 0.2593301744303083, -0.10000050058750573, 1697830861870279415, 
-0.4526431519463613, 0.24175722108145373, -0.099288033457574, 1697830861981306528, 
-0.42045211575927605, 0.221387264450191, -0.09636743422624479, 1697830862082221660, 
-0.39185725591597165, 0.2046379169800446, -0.08343302427650907, 1697830862179178834, 
-0.3651027572410169, 0.19411041467406895, -0.07458743864022667, 1697830862272267533, 
-0.33766536051242135, 0.18037863345932262, -0.07342238808500917, 1697830862380404906, 
-0.3161626061602624, 0.1563052259283266, -0.07066712589174272, 1697830862480330135, 
-0.2953290959884557, 0.14130783228448143, -0.06319285900767777, 1697830862580138527, 
-0.2743271009442186, 0.14635275609167375, -0.05639514445782709, 1697830862671323409, 
-0.2527837167530943, 0.1427511734057826, -0.054837048644960924, 1697830862780166691, 
-0.23432621368535528, 0.12749312255256534, -0.05301057453739967, 1697830862880180763, 
-0.21831829007975856, 0.11488917320237985, -0.04702609690662364, 1697830862980156267, 
-0.20378954115700804, 0.10653458434538184, -0.04180899283223576, 1697830863071254001, 
-0.18959172117984807, 0.09658519608480587, -0.04079732795150687, 1697830863180241396, 
-0.17496727685664176, 0.09220790981815706, -0.039578451535231235, 1697830863280166924, 
-0.16312722903313387, 0.08826534044044576, -0.03515972926405461, 1697830863380131373, 
-0.15228991249341417, 0.07909364951203406, -0.03124700156257171, 1697830863471325128, 
-0.14117323372871848, 0.07365759579520918, -0.030445044118097363, 1697830863580168731, 
-0.1319645533372435, 0.06474435470639361, -0.029614128806871528, 1697830863680155880, 
-0.1223931547066553, 0.06225362761845394, -0.026513519749395104, 1697830863781266928, 
-0.11446780467201106, 0.06123715110744218, -0.02337256064422107, 1697830863870266595, 
-0.1046754578984111, 0.059376794719057636, -0.02264679883252201, 1697830863980192703, 
-0.09755301611697875, 0.05344379200555304, -0.022157118865998762, 1697830864080156515, 
-0.09072869276151835, 0.046489391652900426, -0.019530559910786296, 1697830864180193544, 
-0.08493626261547255, 0.04417156168404335, -0.017315287848336008, 1697830864270282601, 
-0.07839618196955861, 0.043249532128680844, -0.01609147178048523, 1697830864370204562, 
-0.07139285367979159, 0.04304626163911194, -0.016421924395013054, 1697830864480169535, 
-0.06671829275508312, 0.0368012294180369, -0.01515743752195252, 1697830864580231229, 
-0.06328675257216032, 0.028240475904691992, -0.012778989256010998, 1697830864670523893, 
-0.058870005880097, 0.027408333528296053, -0.01197298151900204, 1697830864770404279, 
-0.054498913883874345, 0.027996413023631928, -0.012353693925225135, 1697830864880316657, 
-0.05229124788129552, 0.020547346648124378, -0.011642747608962192, 1697830864981247014, 
-0.04830810389110601, 0.022202152730824026, -0.009821463099088504, 1697830865070289054, 
-0.04527361474707253, 0.024985218590861922, -0.009211755107915621, 1697830865170694490, 
-0.042283632622779455, 0.019156925793323707, -0.00951673019444819, 1697830865280424974, 
-0.03970296614849905, 0.01762139680993295, -0.008928394131721395, 1697830865381170189, 
-0.036714962714731236, 0.019709517192229725, -0.007514019933007926, 1697830865470330309, 
-0.0337745363437279, 0.020986239220805305, -0.006942808170745254, 1697830865570188780, 
-0.031048884294097745, 0.018063275952925926, -0.007108127578954987, 1697830865680343331, 
-0.02754597884355242, 0.019937656618766997, -0.006467102395036078, 1697830865780229197, 
-0.026509100677698294, 0.015525235669019229, -0.005389839951650463, 1697830865870340590, 
-0.02634600868255127, 0.004378782721003169, -0.005097025271456813, 1697830865970414133, 
-0.025729534147473532, 0.0024113172179627664, -0.0055028945338762075, 1697830866080415776, 
-0.023544253030234052, 0.009099485254844776, -0.00531185324907733, 1697830866181146780, 
-0.02174821491832507, 0.013950800523394633, -0.004493994288846741, 1697830866270244033, 
-0.02000955748574701, 0.012490861596656898, -0.004125217060884771, 1697830866370660828, 
-0.019379000040808003, 0.007689015146785629, -0.004280158864748966, 1697830866480272729, 
-0.01790578660442127, 0.007037505056712717, -0.00392513989215283, 1697830866576185821, 
-0.018188799551023427, 0.004123482042075169, -0.0035241301443945062, 1697830866670856954, 
-0.0175283562736282, 0.0010131735328049822, -0.003650228140380449, 1697830866780402224, 
-0.015578848929844347, 0.008518283775235674, -0.0035802457399398547, 1697830866880244357, 
-0.014944741202689182, 0.008682663730914912, -0.003156479694487503, 1697830866977468936, 
-0.014480771652281454, 0.003839811647591154, -0.002851293975009017, 1697830867070312199, 
-0.014856699883474989, 0.00042740556414885773, -0.002864052968978851, 1697830867171500769, 
-0.01472509528311522, -0.0008346631304028282, -0.0030821865511827407, 1697830867280162880, 
-0.015217949410668563, -0.0012739804956267793, -0.0030849869594202738, 1697830867378085895, 
-0.013703436252821166, 0.0037931525239516366, -0.0027671992148712078, 1697830867470363727, 
-0.013550099963940632, 0.00597177276748164, -0.002750916390897215, 1697830867572398598, 
-0.014248660587166173, -0.001651674290793276, -0.0029080302658673067, 1697830867680571655, 
-0.013791477426010057, -0.0005975943052249286, -0.002858294539435119, 1697830867778573990, 
-0.01476159532957877, -0.001972892097066214, -0.0027059804822856053, 1697830867870235503, 
-0.012464174595994526, 0.004241068131607842, -0.0026009590825374876, 1697830867968808044, 
-0.01245102745365223, 0.00780818388999837, -0.002781641217745644, 1697830868080558014, 
-0.012340730083764406, 0.0004139237060157747, -0.0026062827068113396, 1697830868178676585, 
-0.011482255334887281, 0.003500161808908359, -0.002293435442785978, 1697830868270233922, 
-0.011855779295011859, 0.0020056377409825386, -0.002411211569355313, 1697830868381420003, 
-0.01132762223974787, 0.0006418965420554294, -0.0024395213136987367, 1697830868481352493, 
-0.010559818441155333, 0.004402693838811204, -0.0022140209318466555, 1697830868578261407, 
-0.009211951381762729, 0.007420876931856227, -0.0019790044129799917, 1697830868672256972, 
-0.009952639500685978, 0.0025183370929147473, -0.0020129994107459083, 1697830868781427706, 
-0.009826595431706553, -0.0018445508104682274, -0.002028643215907317, 1697830868882180415, 
-0.011286082102627548, -0.00454777405624856, -0.0020579945784063446, 1697830868980169722, 
-0.0102718737353788, -0.0012536790128507107, -0.001978127089998738, 1697830869071266479, 
-0.011210872970091379, 0.0008373126177755782, -0.0021847202632836087, 1697830869180181777, 
-0.010357994764650214, -3.5268358089451946e-05, -0.002218986505547872, 1697830869280336972, 
-0.01098911051123358, 0.0007309144156178119, -0.0021702138458808457, 1697830869380152472, 
-0.010675829197412778, -0.0009615409078354635, -0.0020380817103610328, 1697830869471270290, 
-0.011097144003913206, -0.00014347915647902883, -0.002184390374083826, 1697830869580175498, 
-0.011826227026382474, -0.0037172568825356105, -0.002340866314825583, 1697830869680281186, 
-0.011273974161247924, -0.0005847445374607734, -0.00227971432220744, 1697830869780165963, 
-0.011516804350931442, 0.0009448203733096786, -0.002192497285615492, 1697830869870288720, 
-0.011175450055261382, 0.00012810854515655956, -0.002275698558551735, 1697830869981162540, 
-0.010587203097286613, 0.003002556442956663, -0.002330567131419081, 1697830870080379326, 
-0.010558089363887302, 0.0020725700360768894, -0.002154980529888976, 1697830870181187078, 
-0.009463717942315819, 0.004100269134703602, -0.0019581016766519487, 1697830870272293568, 
-0.008364731972962947, 0.00736710991082573, -0.0018927395838307143, 1697830870381219167, 
-0.008632030660855883, 0.002462618194061695, -0.0018334569305061925, 1697830870480164728, 
-0.008041663963936296, 0.0010478427944528065, -0.0016688049732874362, 1697830870581168429, 
-0.007212574956583784, 0.005048837129920638, -0.0015139004360137371, 1697830870670303305, 
-0.006905267952306671, 0.004125804617919149, -0.0013963648610775712, 1697830870770211200, 
-0.006717192414835593, 0.001595392968163599, -0.001457590270284045, 1697830870880179158, 
-0.006583737757521968, 0.001010568131363075, -0.0014209043648439699, 1697830870981171870, 
-0.0062601104953488584, 0.0016510372532534045, -0.0012395499455061959, 1697830871070284066, 
-0.005189773860586611, 0.004777033239281948, -0.0011370145363013458, 1697830871170320982, 
-0.004876976193378346, 0.004514277805964892, -0.0011431228936957377, 1697830871280328653, 
-0.004788681622961921, 0.0012397022656472545, -0.0010440211640130143, 1697830871381157231, 
-0.0041047229363815885, 0.0028492262250667207, -0.000872026317094945, 1697830871470307347, 
-0.003513796500612898, 0.004623261666593319, -0.0007630210326491873, 1697830871565651952, 
-0.004553798173059065, -0.0010702478242478762, -0.0008353563719167834, 1697830871676190006, 
-0.005704264619144805, -0.0067845109816992545, -0.0009899742446728478, 1697830871781303497, 
-0.004725692444388141, -2.7474718594236332e-05, -0.0009749435817715377, 1697830871871390121, 
-0.004510887176918055, 0.004270794422784102, -0.000997319620722329, 1697830871981557165, 
-0.005500600729191507, -0.0026938565402472876, -0.0010258490377426602, 1697830872080218882, 
-0.005086798159370687, -0.0019775580198970366, -0.0010046447057244043, 1697830872181178109, 
-0.0048194056382112604, 0.002366276311961991, -0.0009762086548874149, 1697830872270305409, 
-0.005268024159839901, -0.0004908941471448077, -0.0009581337420031949, 1697830872370604631, 
-0.00486952571805932, -0.0002794157964794274, -0.0010466919848214746, 1697830872480246259, 
-0.004535678538710175, 0.002313964030399834, -0.001029977422967629, 1697830872581187618, 
-0.003502551599688153, 0.004964489547957178, -0.0008179672379757185, 1697830872670356898, 
-0.004966146724877163, -0.000998746436605918, -0.000821602303433457, 1697830872770724336, 
-0.005810846440262585, -0.007432899368370019, -0.0009987902220179512, 1697830872880193466, 
-0.00533123948275438, -0.0010051651142856664, -0.0011356040271302804, 1697830872982219424, 
-0.005723577569096916, 0.0001025070538519807, -0.0010756327403417365, 1697830873071522922, 
-0.007143218457905165, -0.0062420646037359825, -0.0011425413850845955, 1697830873170570752, 
-0.007645120019907692, -0.006303641889350932, -0.0014268099741918995, 1697830873280203082, 
-0.007875365003875645, -0.0023235175156700026, -0.0015552445929039758, 1697830873376438861, 
-0.0066195351423803395, 0.003663141955140543, -0.001402798622314456, 1697830873470284023, 
-0.008455544992712338, -0.0015752707564519117, -0.0014936055676116997, 1697830873571677632, 
-0.007950002882878504, -0.004498116600780686, -0.0016192382878363882, 1697830873681258935, 
-0.00790501877401989, 0.0016941283246649297, -0.0016652641723068975, 1697830873777176442, 
-0.008724539058216851, -0.0027450149440990342, -0.0015572921605260734, 1697830873871330537, 
-0.010310595877493722, -0.00817684659756178, -0.0017454463446579809, 1697830873971545750, 
-0.009411225279637447, -0.00255379877971371, -0.001994689168495033, 1697830874081693742, 
