e, e_dot, e_int, stamp, 
0.05875573122638526, -5.048854852714631e-12, 0.011751146245417019, 1701464230776950068, 
0.05875573122189884, -1.6904232643296286e-11, 0.011751146245016946, 1701464230876955510, 
0.058755731221771974, -1.5377629725144004e-11, 0.011751146244670406, 1701464230966849709, 
0.058755731220883504, -3.3844455016307506e-12, 0.011751146244303621, 1701464231076831533, 
0.058755731227311134, 1.846386469643117e-11, 0.011751146244664442, 1701464231176859138, 
0.05739190182670447, -0.004546097980596779, 0.011660224284993274, 1701464231276848997, 
0.05661946983126773, -0.007120871320144689, 0.011517806859018887, 1701464231385844762, 
0.06117248071832214, 0.012601929638725562, 0.011678923491752957, 1701464231477870520, 
0.06326571359435992, 0.02215414587697399, 0.012070510942929987, 1701464231576841958, 
0.05908854737014313, -0.006946444493930032, 0.012235116112188344, 1701464231676956316, 
0.035267370078970475, -0.09332781171796482, 0.01050810873623157, 1701464231786985812, 
0.03331534269486246, -0.08591068225093557, 0.008511417342931737, 1701464231877084317, 
0.03140268198109815, -0.01288229365957442, 0.006665692983662072, 1701464231976847770, 
0.010367705790604642, -0.07649212301419271, 0.005005715364437683, 1701464232076910826, 
0.004857958367982196, -0.08848241204371983, 0.0031085564093123325, 1701464232186852281, 
-0.0020198876651068634, -0.04129197818570502, 0.0008803850995653316, 1701464232276874912, 
-0.00778261215141525, -0.042135235064658154, -0.0003296360965693278, 1701464232376849164, 
-0.010656537545572047, -0.028788832934883945, -0.0013639358241396107, 1701464232476967897, 
-0.011803929472123782, -0.013404391069028443, -0.0020162052779407386, 1701464232586853602, 
-0.012671944426009565, -0.00671802293479173, -0.002342160762913693, 1701464232676872709, 
-0.012938044276790857, -0.003780382682223582, -0.002494261211661614, 1701464232776852015, 
-0.02348791528584986, -0.036053236199467646, -0.003273193599243352, 1701464232876979980, 
-0.0237915000419697, -0.036178185883929466, -0.0040144973069740275, 1701464232986852467, 
-0.021839162027251245, 0.005495844195328714, -0.00460790515700472, 1701464233076962288, 
-0.021953988533190263, 0.0061250383625981175, -0.0045056433734940796, 1701464233176861329, 
-0.02203285173280488, -0.0006456323518454441, -0.004388400152883093, 1701464233276989165, 
-0.028418323147241374, -0.021547782046837036, -0.004827010894215768, 1701464233386871544, 
-0.029842360819003634, -0.02603169695399585, -0.005352902379936659, 1701464233476872060, 
-0.027320354446486818, 0.0036598956691818543, -0.005705402560848788, 1701464233576891749, 
-0.026137843796337545, 0.012348390075553628, -0.005553370604121866, 1701464233676986263, 
-0.023556083790304605, 0.01254756885394071, -0.005134285468875264, 1701464233767262151, 
-0.028130454255561974, -0.006642034864081427, -0.005188292122813608, 1701464233876893242, 
-0.028191848752562032, -0.015452549874191424, -0.005325225786561907, 1701464233976867814, 
-0.026999452768618967, 0.0037700049564766878, -0.005554783718449531, 1701464234076881478, 
-0.025625564043931463, 0.008554282362101899, -0.0053877910376741635, 1701464234186859608, 
-0.024978147621200146, 0.006737683824729404, -0.005173544295583371, 1701464234276979002, 
-0.02476228841146235, 0.0028775854415637064, -0.005024400005106264, 1701464234376869524, 
-0.02375648368292337, 0.004072213127589257, -0.004899794647705724, 1701464234476886169, 
-0.022788973799631147, 0.00657771537277068, -0.004753849726267791, 1701464234567871426, 
-0.020664409422649316, 0.010306914200913508, -0.004480657793680256, 1701464234676969247, 
-0.020294163236090394, 0.008316035211802507, -0.004249836430558057, 1701464234776936810, 
-0.017951503681460767, 0.009043019137295166, -0.003927338422680032, 1701464234876915938, 
-0.30615837073763774, -0.9528806916718243, -0.022960269177012594, 1701464234986878464, 
-0.3207383393203482, -1.0092894521296245, -0.04298988091596311, 1701464235077035017, 
-0.3353377034164884, -0.09726444226283548, -0.06414896089829829, 1701464235176869069, 
-0.3530784538906855, -0.10780038190112436, -0.06727696644183481, 1701464235277010282, 
-0.37435393973648484, -0.13005412106665484, -0.07085133980291057, 1701464235386881997, 
-0.5355470483418465, -0.6082286481705368, -0.08419862946460112, 1701464235477118849, 
-0.5577829296952508, -0.6114299665292198, -0.09784559451823881, 1701464235576883384, 
-0.5453223041282398, -0.03258418595464422, -0.10924348547768914, 1701464235677025237, 
-0.5120939941542272, 0.152296451803412, -0.10767994853184784, 1701464235786875292, 
-0.5055374094476608, 0.13261631560193, -0.10419691384867519, 1701464235876918230, 
-0.5026489697427975, 0.03148341470476564, -0.10135202488964569, 1701464235976915636, 
-0.529568332923759, -0.08010307825366085, -0.1025169808076145, 1701464236077000699, 
-0.4891739165119934, 0.044916844102680376, -0.10142608127856999, 1701464236186883805, 
-0.4533325484810484, 0.25411928147570206, -0.09813831986112007, 1701464236276914958, 
-0.42747007480637067, 0.2056794723520757, -0.09133176931996084, 1701464236376889794, 
-0.4050234122971743, 0.16103045394624704, -0.08572173570563955, 1701464236476982443, 
-0.37657154712364377, 0.169661758942423, -0.0806043356151459, 1701464236586889317, 
-0.35074060600896056, 0.18094268762737917, -0.07548903769531858, 1701464236676908459, 
-0.3165421290151821, 0.20009806036153896, -0.0695902854765191, 1701464236776923549, 
-0.28812014232161576, 0.20873487895781603, -0.06369352515638389, 1701464236877005447, 
-0.2615122049234593, 0.18343308030574268, -0.05774496508401714, 1701464236987231203, 
-0.242193434157563, 0.15308902721350917, -0.052788385426842534, 1701464237077133325, 
-0.21921334602009102, 0.14099619634456087, -0.04819459900674088, 1701464237176896966, 
-0.19759276378289525, 0.1486689012488925, -0.043933302930703286, 1701464237276941437, 
-0.1558820155888977, 0.21110443477064442, -0.03817920835945893, 1701464237366882756, 
-0.13547155851971693, 0.2070706842105944, -0.032596422526100656, 1701464237477030654, 
-0.11981705777064933, 0.12021652606082789, -0.027411375458617597, 1701464237576938968, 
-0.10651099468675218, 0.09653521277654915, -0.024119974065141228, 1701464237677132498, 
-0.09006831730088793, 0.09916246823253798, -0.021093091317219297, 1701464237786946532, 
-0.07774760184654916, 0.09587797613401006, -0.018288460922279284, 1701464237876756162, 
-0.06978563527878967, 0.06760894007366088, -0.015840103628415116, 1701464237976931477, 
-0.06360896305004293, 0.0471287959883541, -0.014076146678358784, 1701464238076985419, 
-0.03223039849562781, 0.12518412261053954, -0.011041666454964027, 1701464238186904008, 
-0.025493156500292713, 0.1270526884991674, -0.008088834536397563, 1701464238276923167, 
-0.01712713815282907, 0.05034420114266247, -0.004990046209916639, 1701464238376937725, 
-0.012844387560026038, 0.04216256313422225, -0.003697645480876521, 1701464238477123794, 
-0.008312103001760218, 0.029383450503562836, -0.0025522419143076884, 1701464238586907063, 
-0.004730810202536739, 0.027045257858297662, -0.0017258200509548663, 1701464238677009235, 
0.0013770556697825231, 0.032297195571809136, -0.0007777238356342956, 1701464238776913197, 
0.0019766842804307405, 0.022358314943224933, -9.180468348823171e-05, 1701464238877153075, 
0.18142618328133164, 0.6001637587051637, 0.01231866154876966, 1701464238967911812, 
0.1906308458177257, 0.6288472051243166, 0.02493558089196587, 1701464239077112691, 
0.20051094315050977, 0.06361586623059375, 0.03817119814997114, 1701464239176936677, 
0.21282619588359708, 0.07398450021957122, 0.040264532323455504, 1701464239277116707, 
0.22472098712341393, 0.0807001465763472, 0.04253720841050138, 1701464239387107560, 
0.2360794204921557, 0.07751074869519536, 0.04490844023327778, 1701464239476847832, 
0.25239443035039266, 0.09224481075659578, 0.04754632253106415, 1701464239577189042, 
0.16867178517503656, -0.22469211772373043, 0.043809709067838994, 1701464239688249663, 
